Time_1,Gols_1,Gols_2,Time_2,Ano
Atlético-PR,2,0,Grêmio-RS,2003
Guarani-SP,4,2,Vasco-RJ,2003
Corinthians-SP,0,3,Atlético-MG,2003
Criciúma-SC,2,0,Fluminense-RJ,2003
Cruzeiro-MG,2,2,São Caetano-SP,2003
Flamengo-RJ,1,1,Coritiba-PR,2003
Fortaleza-CE,0,0,Bahia-BA,2003
Goiás-GO,2,2,Paysandu-PA,2003
Internacional-RS,1,1,Ponte Preta-SP,2003
Santos-SP,2,2,Paraná-PR,2003
Vitória-BA,1,1,Figueirense-SC,2003
Atlético-MG,0,0,Santos-SP,2003
Coritiba-PR,0,1,Internacional-RS,2003
Fluminense-RJ,1,1,Fortaleza-CE,2003
Grêmio-RS,3,1,Guarani-SP,2003
Bahia-BA,1,2,Flamengo-RJ,2003
Figueirense-SC,3,3,Corinthians-SP,2003
Paraná-PR,3,0,Atlético-PR,2003
Paysandu-PA,1,2,Vitória-BA,2003
Ponte Preta-SP,1,0,Juventude-RS,2003
São Caetano-SP,3,2,Criciúma-SC,2003
São Paulo-SP,2,4,Cruzeiro-MG,2003
Vasco-RJ,6,4,Goiás-GO,2003
Paysandu-PA,2,1,Santos-SP,2003
Atlético-PR,1,2,Atlético-MG,2003
Corinthians-SP,6,1,Paysandu-PA,2003
Internacional-RS,2,0,Bahia-BA,2003
Santos-SP,2,0,Figueirense-SC,2003
Criciúma-SC,1,1,São Paulo-SP,2003
Cruzeiro-MG,3,0,Ponte Preta-SP,2003
Flamengo-RJ,4,1,Fluminense-RJ,2003
Fortaleza-CE,1,1,São Caetano-SP,2003
Goiás-GO,1,1,Grêmio-RS,2003
Guarani-SP,2,0,Paraná-PR,2003
Juventude-RS,2,1,Coritiba-PR,2003
Vitória-BA,2,1,Vasco-RJ,2003
Atlético-MG,3,2,Guarani-SP,2003
Bahia-BA,3,1,Juventude-RS,2003
Coritiba-PR,3,4,Cruzeiro-MG,2003
Figueirense-SC,1,1,Atlético-PR,2003
Grêmio-RS,2,1,Vitória-BA,2003
Ponte Preta-SP,1,1,Criciúma-SC,2003
São Caetano-SP,1,1,Flamengo-RJ,2003
Vasco-RJ,2,2,Corinthians-SP,2003
Fluminense-RJ,3,1,Internacional-RS,2003
Paraná-PR,3,1,Goiás-GO,2003
São Paulo-SP,3,1,Fortaleza-CE,2003
Bahia-BA,2,4,Atlético-MG,2003
Flamengo-RJ,0,2,Santos-SP,2003
São Caetano-SP,1,1,Grêmio-RS,2003
Criciúma-SC,1,0,Guarani-SP,2003
Cruzeiro-MG,4,1,Goiás-GO,2003
Fluminense-RJ,0,0,Paraná-PR,2003
Fortaleza-CE,1,0,Atlético-PR,2003
Internacional-RS,2,1,Corinthians-SP,2003
Juventude-RS,1,1,Vitória-BA,2003
Ponte Preta-SP,4,4,Paysandu-PA,2003
São Paulo-SP,3,1,Vasco-RJ,2003
Coritiba-PR,1,0,Figueirense-SC,2003
Atlético-MG,1,2,Coritiba-PR,2003
Guarani-SP,1,1,Cruzeiro-MG,2003
Paraná-PR,3,1,Bahia-BA,2003
Vitória-BA,0,3,Internacional-RS,2003
Atlético-PR,5,2,Criciúma-SC,2003
Corinthians-SP,1,1,Flamengo-RJ,2003
Figueirense-SC,0,0,Ponte Preta-SP,2003
Goiás-GO,7,0,Juventude-RS,2003
Grêmio-RS,0,1,Fluminense-RJ,2003
Paysandu-PA,5,2,São Paulo-SP,2003
Santos-SP,4,0,Fortaleza-CE,2003
Vasco-RJ,1,0,São Caetano-SP,2003
Juventude-RS,2,2,São Paulo-SP,2003
Bahia-BA,2,1,Grêmio-RS,2003
Cruzeiro-MG,5,2,Atlético-PR,2003
Flamengo-RJ,2,1,Vitória-BA,2003
Coritiba-PR,2,1,Paraná-PR,2003
Criciúma-SC,1,3,Santos-SP,2003
Fluminense-RJ,0,0,Vasco-RJ,2003
Fortaleza-CE,1,2,Corinthians-SP,2003
Internacional-RS,2,1,Goiás-GO,2003
Juventude-RS,1,1,Guarani-SP,2003
Ponte Preta-SP,2,1,Atlético-MG,2003
São Caetano-SP,2,0,Paysandu-PA,2003
São Paulo-SP,3,2,Figueirense-SC,2003
Corinthians-SP,3,0,Criciúma-SC,2003
Goiás-GO,1,1,Flamengo-RJ,2003
Paraná-PR,3,2,Ponte Preta-SP,2003
Santos-SP,0,2,Cruzeiro-MG,2003
Atlético-MG,2,2,São Paulo-SP,2003
Atlético-PR,2,0,Juventude-RS,2003
Figueirense-SC,3,0,São Caetano-SP,2003
Grêmio-RS,1,0,Coritiba-PR,2003
Guarani-SP,3,0,Internacional-RS,2003
Paysandu-PA,2,2,Fluminense-RJ,2003
Vasco-RJ,1,1,Bahia-BA,2003
Vitória-BA,2,1,Fortaleza-CE,2003
Fluminense-RJ,3,0,Figueirense-SC,2003
Juventude-RS,1,1,Santos-SP,2003
São Caetano-SP,2,0,Atlético-MG,2003
Bahia-BA,2,0,Paysandu-PA,2003
Coritiba-PR,1,1,Vasco-RJ,2003
Criciúma-SC,1,1,Vitória-BA,2003
Cruzeiro-MG,1,1,Corinthians-SP,2003
Flamengo-RJ,1,1,Guarani-SP,2003
Fortaleza-CE,1,0,Goiás-GO,2003
Internacional-RS,1,1,Atlético-PR,2003
Ponte Preta-SP,2,1,Grêmio-RS,2003
São Paulo-SP,2,0,Paraná-PR,2003
Atlético-MG,3,0,Fluminense-RJ,2003
Corinthians-SP,3,0,Juventude-RS,2003
Paraná-PR,1,1,São Caetano-SP,2003
Vasco-RJ,1,0,Ponte Preta-SP,2003
Atlético-PR,4,1,Flamengo-RJ,2003
Figueirense-SC,1,0,Bahia-BA,2003
Goiás-GO,0,2,Criciúma-SC,2003
Grêmio-RS,1,2,São Paulo-SP,2003
Guarani-SP,2,1,Fortaleza-CE,2003
Paysandu-PA,1,3,Coritiba-PR,2003
Santos-SP,2,1,Internacional-RS,2003
Vitória-BA,2,1,Cruzeiro-MG,2003
Coritiba-PR,3,2,Guarani-SP,2003
Cruzeiro-MG,2,0,Criciúma-SC,2003
Fluminense-RJ,2,1,Atlético-PR,2003
Internacional-RS,2,1,Paysandu-PA,2003
Ponte Preta-SP,0,0,São Caetano-SP,2003
Bahia-BA,2,1,Goiás-GO,2003
Corinthians-SP,4,0,Vitória-BA,2003
Figueirense-SC,2,1,Grêmio-RS,2003
Fortaleza-CE,3,1,Juventude-RS,2003
Paraná-PR,6,2,Flamengo-RJ,2003
Santos-SP,3,2,São Paulo-SP,2003
Vasco-RJ,2,2,Atlético-MG,2003
Atlético-MG,1,1,Figueirense-SC,2003
Grêmio-RS,3,1,Fortaleza-CE,2003
Guarani-SP,1,2,Santos-SP,2003
Vitória-BA,2,1,Fluminense-RJ,2003
Atlético-PR,4,2,Ponte Preta-SP,2003
Criciúma-SC,1,0,Internacional-RS,2003
Goiás-GO,1,2,Coritiba-PR,2003
Juventude-RS,0,0,Vasco-RJ,2003
Paysandu-PA,3,0,Paraná-PR,2003
São Caetano-SP,1,0,Corinthians-SP,2003
São Paulo-SP,2,2,Bahia-BA,2003
Coritiba-PR,2,0,Atlético-PR,2003
Fluminense-RJ,2,3,Goiás-GO,2003
Ponte Preta-SP,0,2,Guarani-SP,2003
Bahia-BA,2,1,Vitória-BA,2003
Corinthians-SP,1,2,São Paulo-SP,2003
Criciúma-SC,1,0,Figueirense-SC,2003
Cruzeiro-MG,0,0,Atlético-MG,2003
Fortaleza-CE,1,2,Paysandu-PA,2003
Grêmio-RS,0,0,Internacional-RS,2003
Paraná-PR,1,2,Juventude-RS,2003
Santos-SP,0,1,São Caetano-SP,2003
Vasco-RJ,1,2,Flamengo-RJ,2003
São Paulo-SP,2,0,Atlético-PR,2003
Flamengo-RJ,3,0,Cruzeiro-MG,2003
Bahia-BA,2,2,Coritiba-PR,2003
Atlético-MG,3,2,Grêmio-RS,2003
Internacional-RS,2,1,Paraná-PR,2003
São Paulo-SP,1,0,Goiás-GO,2003
Vasco-RJ,2,0,Criciúma-SC,2003
Figueirense-SC,2,2,Fortaleza-CE,2003
Fluminense-RJ,5,2,Guarani-SP,2003
Juventude-RS,0,1,Cruzeiro-MG,2003
Paysandu-PA,2,2,Flamengo-RJ,2003
Ponte Preta-SP,3,3,Corinthians-SP,2003
São Caetano-SP,2,1,Vitória-BA,2003
Coritiba-PR,2,0,São Caetano-SP,2003
Flamengo-RJ,0,2,Figueirense-SC,2003
Fortaleza-CE,0,1,Vasco-RJ,2003
Grêmio-RS,1,4,Juventude-RS,2003
Santos-SP,4,0,Bahia-BA,2003
Corinthians-SP,1,0,Fluminense-RJ,2003
Criciúma-SC,2,0,Paysandu-PA,2003
Cruzeiro-MG,3,2,Internacional-RS,2003
Guarani-SP,0,1,São Paulo-SP,2003
Paraná-PR,1,1,Atlético-MG,2003
Vitória-BA,1,0,Atlético-PR,2003
Atlético-MG,3,2,Paysandu-PA,2003
Figueirense-SC,1,0,Cruzeiro-MG,2003
São Paulo-SP,1,1,São Caetano-SP,2003
Vasco-RJ,1,4,Paraná-PR,2003
Atlético-PR,3,1,Corinthians-SP,2003
Fluminense-RJ,1,0,Bahia-BA,2003
Fortaleza-CE,0,1,Criciúma-SC,2003
Grêmio-RS,2,0,Flamengo-RJ,2003
Guarani-SP,3,2,Goiás-GO,2003
Juventude-RS,1,1,Internacional-RS,2003
Santos-SP,3,1,Coritiba-PR,2003
Vitória-BA,1,4,Ponte Preta-SP,2003
Bahia-BA,2,0,Guarani-SP,2003
Corinthians-SP,1,1,Santos-SP,2003
Coritiba-PR,0,2,São Paulo-SP,2003
Cruzeiro-MG,2,0,Fortaleza-CE,2003
Flamengo-RJ,2,1,Juventude-RS,2003
Goiás-GO,1,1,Vitória-BA,2003
Internacional-RS,2,1,Vasco-RJ,2003
Paysandu-PA,1,0,Figueirense-SC,2003
São Caetano-SP,0,0,Atlético-PR,2003
Criciúma-SC,1,0,Atlético-MG,2003
Paraná-PR,3,1,Grêmio-RS,2003
Ponte Preta-SP,3,0,Fluminense-RJ,2003
Atlético-PR,0,0,Goiás-GO,2003
Fortaleza-CE,3,0,Internacional-RS,2003
Vasco-RJ,0,2,Paysandu-PA,2003
Atlético-MG,1,0,Flamengo-RJ,2003
Corinthians-SP,0,1,Coritiba-PR,2003
Criciúma-SC,3,0,Juventude-RS,2003
Figueirense-SC,4,2,Paraná-PR,2003
Fluminense-RJ,1,3,São Paulo-SP,2003
Grêmio-RS,0,1,Cruzeiro-MG,2003
Ponte Preta-SP,1,0,Bahia-BA,2003
São Caetano-SP,0,2,Guarani-SP,2003
Vitória-BA,2,0,Santos-SP,2003
Bahia-BA,0,0,São Caetano-SP,2003
Coritiba-PR,3,0,Fluminense-RJ,2003
Cruzeiro-MG,4,1,Vasco-RJ,2003
Flamengo-RJ,0,2,Fortaleza-CE,2003
Goiás-GO,1,1,Corinthians-SP,2003
Guarani-SP,2,2,Vitória-BA,2003
Internacional-RS,3,3,Atlético-MG,2003
Juventude-RS,1,2,Figueirense-SC,2003
Santos-SP,2,1,Ponte Preta-SP,2003
Paysandu-PA,1,1,Grêmio-RS,2003
Corinthians-SP,1,0,Guarani-SP,2003
Fluminense-RJ,1,4,Santos-SP,2003
