Ano,Posição,Time,Pts,J,V,E,D,GF,GC,SG
2003,1,Cruzeiro-MG,100,46,31,7,8,102,47,55
2003,2,Santos-SP,87,46,25,12,9,93,60,33
2003,3,São Paulo-SP,78,46,22,12,12,81,67,14
2003,4,São Caetano-SP,74,46,19,14,13,53,37,16
2003,5,Coritiba-PR,73,46,21,10,15,67,58,9
2003,6,Internacional-RS,72,46,20,10,16,59,57,2
2003,7,Atlético-MG,72,46,19,15,12,76,62,14
2003,8,Flamengo-RJ,66,46,18,12,16,66,73,-7
2003,9,Goiás-GO,65,46,18,11,17,78,63,15
2003,10,Paraná-PR,65,46,18,11,17,85,75,10
2003,11,Figueirense-SC,65,46,17,14,15,62,54,8
2003,12,Atlético-PR,61,46,17,10,19,67,72,-5
2003,13,Guarani-SP,61,46,17,10,19,64,72,-8
2003,14,Criciúma-SC,60,46,17,9,20,57,69,-12
2003,15,Corinthians-SP,59,46,15,12,19,61,63,-2
2003,16,Vitória-BA,56,46,15,11,20,50,64,-14
2003,17,Vasco-RJ,54,46,13,15,18,57,69,-12
2003,18,Juventude-RS,53,46,12,14,20,55,70,-15
2003,19,Fluminense-RJ,52,46,13,11,22,52,77,-25
2003,20,Grêmio-RS,50,46,13,11,22,54,68,-14
2003,21,Ponte Preta-SP,50,46,11,18,17,63,73,-10
2003,22,Paysandu-PA,49,46,15,12,19,74,77,-3
2003,23,Fortaleza-CE,49,46,12,13,21,58,74,-16
2003,24,Bahia-BA,46,46,12,10,24,59,92,-33
2004,1,Santos-SP,89,46,27,8,11,103,58,45
2004,2,Atlético-PR,86,46,25,11,10,93,56,37
2004,3,São Paulo-SP,82,46,24,10,12,78,43,35
2004,4,Palmeiras-SP,79,46,22,13,11,72,47,25
2004,5,Corinthians-SP,74,46,20,14,12,54,54,0
2004,6,Goiás-GO,72,46,21,9,16,81,68,13
2004,7,Juventude-RS,70,46,20,10,16,60,66,-6
2004,8,Internacional-RS,67,46,20,7,19,66,59,7
2004,9,Fluminense-RJ,67,46,18,13,15,65,68,-3
2004,10,Ponte Preta-SP,64,46,19,7,20,43,73,-30
2004,11,Figueirense-SC,63,46,17,12,17,57,59,-2
2004,12,Coritiba-PR,62,46,15,17,14,53,48,5
2004,13,Cruzeiro-MG,56,46,16,8,22,69,81,-12
2004,14,Paysandu-PA,56,46,14,14,18,56,76,-20
2004,15,Paraná-PR,54,46,15,9,22,52,73,-21
2004,16,Vasco-RJ,54,46,14,12,20,64,68,-4
2004,17,Flamengo-RJ,54,46,13,15,18,51,53,-2
2004,18,São Caetano-SP,53,46,23,8,15,65,49,16
2004,19,Atlético-MG,53,46,12,17,17,60,66,-6
2004,20,Botafogo-RJ,51,46,11,18,17,62,71,-9
2004,21,Criciúma-SC,50,46,13,11,22,61,78,-17
2004,22,Guarani-SP,49,46,11,16,19,43,55,-12
2004,23,Vitória-BA,48,46,13,9,24,68,87,-19
2004,24,Grêmio-RS,39,46,9,12,25,60,80,-20
2005,1,Corinthians-SP,81,42,24,9,9,87,59,28
2005,2,Internacional-RS,78,42,23,9,10,72,49,23
2005,3,Goiás-GO,74,42,22,8,12,68,51,17
2005,4,Palmeiras-SP,70,42,20,10,12,81,65,16
2005,5,Fluminense-RJ,68,42,19,11,12,79,70,9
2005,6,Atlético-PR,61,42,18,7,17,76,67,9
2005,7,Paraná-PR,61,42,17,10,15,59,51,8
2005,8,Cruzeiro-MG,60,42,17,9,16,73,72,1
2005,9,Botafogo-RJ,59,42,17,8,17,57,56,1
2005,10,Santos-SP,59,42,16,11,15,68,71,-3
2005,11,São Paulo-SP,58,42,16,10,16,77,67,10
2005,12,Vasco-RJ,56,42,15,11,16,74,84,-10
2005,13,Fortaleza-CE,55,42,16,7,19,58,64,-6
2005,14,Juventude-RS,55,42,15,10,17,66,72,-6
2005,15,Flamengo-RJ,55,42,14,13,15,56,60,-4
2005,16,Figueirense-SC,53,42,14,11,17,65,72,-7
2005,17,São Caetano-SP,52,42,14,10,18,54,60,-6
2005,18,Ponte Preta-SP,51,42,15,6,21,63,80,-17
2005,19,Coritiba-PR,49,42,13,10,19,51,60,-9
2005,20,Atlético-MG,47,42,13,8,21,54,59,-5
2005,21,Paysandu-PA,41,42,12,5,25,63,92,-29
2005,22,Brasiliense-DF,41,42,10,11,21,47,67,-20
2006,1,São Paulo-SP,78,38,22,12,4,66,32,34
2006,2,Internacional-RS,69,38,20,9,9,52,36,16
2006,3,Grêmio-RS,67,38,20,7,11,64,45,19
2006,4,Santos-SP,64,38,18,10,10,58,36,22
2006,5,Paraná-PR,60,38,18,6,14,56,49,7
2006,6,Vasco-RJ,59,38,15,14,9,57,50,7
2006,7,Figueirense-SC,57,38,15,12,11,52,44,8
2006,8,Goiás-GO,55,38,15,10,13,63,49,14
2006,9,Corinthians-SP,53,38,15,8,15,41,46,-5
2006,10,Cruzeiro-MG,53,38,14,11,13,52,45,7
2006,11,Flamengo-RJ,52,38,15,7,16,44,48,-4
2006,12,Botafogo-RJ,51,38,13,12,13,52,50,2
2006,13,Atlético-PR,48,38,13,9,16,61,62,-1
2006,14,Juventude-RS,47,38,13,8,17,44,54,-10
2006,15,Fluminense-RJ,45,38,11,12,15,48,58,-10
2006,16,Palmeiras-SP,44,38,12,8,18,58,70,-12
2006,17,Ponte Preta-SP,39,38,10,9,19,45,65,-20
2006,18,Fortaleza-CE,38,38,8,14,16,39,62,-23
2006,19,São Caetano-SP,36,38,9,9,20,37,53,-16
2006,20,Santa Cruz-PE,28,38,7,7,24,41,76,-35
2007,1,São Paulo-SP,77,38,23,8,7,55,19,36
2007,2,Santos-SP,62,38,19,5,14,57,47,10
2007,3,Flamengo-RJ,61,38,17,10,11,55,49,6
2007,4,Fluminense-RJ,61,38,16,13,9,57,39,18
2007,5,Cruzeiro-MG,60,38,18,6,14,73,58,15
2007,6,Grêmio-RS,58,38,17,7,14,44,43,1
2007,7,Palmeiras-SP,58,38,16,10,12,48,47,1
2007,8,Atlético-MG,55,38,15,10,13,63,51,12
2007,9,Botafogo-RJ,55,38,14,13,11,62,58,4
2007,10,Vasco-RJ,54,38,15,9,14,58,47,11
2007,11,Internacional-RS,54,38,15,9,14,49,44,5
2007,12,Atlético-PR,54,38,14,12,12,51,50,1
2007,13,Figueirense-SC,53,38,14,11,13,57,56,1
2007,14,Sport-PE,51,38,14,9,15,54,55,-1
2007,15,Náutico-PE,49,38,14,7,17,66,63,3
2007,16,Goiás-GO,45,38,13,6,19,49,62,-13
2007,17,Corinthians-SP,44,38,10,14,14,40,50,-10
2007,18,Juventude-RS,41,38,11,8,19,43,65,-22
2007,19,Paraná-PR,41,38,11,8,19,42,64,-22
2007,20,América-RN,17,38,4,5,29,24,80,-56
2008,1,São Paulo-SP,75,38,21,12,5,66,36,30
2008,2,Grêmio-RS,72,38,21,9,8,59,35,24
2008,3,Cruzeiro-MG,67,38,21,4,13,59,44,15
2008,4,Palmeiras-SP,65,38,19,8,11,55,45,10
2008,5,Flamengo-RJ,64,38,18,10,10,67,48,19
2008,6,Internacional-RS,54,38,15,9,14,48,47,1
2008,7,Botafogo-RJ,53,38,15,8,15,51,44,7
2008,8,Goiás-GO,53,38,14,11,13,57,47,10
2008,9,Coritiba-PR,53,38,14,11,13,55,48,7
2008,10,Vitória-BA,52,38,15,7,16,48,44,4
2008,11,Sport-PE,52,38,14,10,14,48,45,3
2008,12,Atlético-MG,48,38,12,12,14,50,61,-11
2008,13,Atlético-PR,45,38,12,9,17,45,54,-9
2008,14,Fluminense-RJ,45,38,11,12,15,49,48,1
2008,15,Santos-SP,45,38,11,12,15,44,53,-9
2008,16,Náutico-PE,44,38,11,11,16,44,54,-10
2008,17,Figueirense-SC,44,38,11,11,16,49,73,-24
2008,18,Vasco-RJ,40,38,11,7,20,56,72,-16
2008,19,Portuguesa-SP,38,38,9,11,18,48,70,-22
2008,20,Ipatinga-MG,35,38,9,8,21,37,67,-30
2009,1,Flamengo-RJ,67,38,19,10,9,58,44,14
2009,2,Internacional-RS,65,38,19,8,11,65,44,21
2009,3,São Paulo-SP,65,38,18,11,9,57,42,15
2009,4,Cruzeiro-MG,62,38,18,8,12,58,53,5
2009,5,Palmeiras-SP,62,38,17,11,10,58,45,13
2009,6,Avaí-SC,57,38,15,12,11,61,52,9
2009,7,Atlético-MG,56,38,16,8,14,55,56,-1
2009,8,Grêmio-RS,55,38,15,10,13,67,46,21
2009,9,Goiás-GO,55,38,15,10,13,64,65,-1
2009,10,Corinthians-SP,52,38,14,10,14,50,54,-4
2009,11,Grêmio Barueri-SP,49,38,12,13,13,58,52,6
2009,12,Santos-SP,49,38,12,13,13,58,58,0
2009,13,Vitória-BA,48,38,13,9,16,51,56,-5
2009,14,Atlético-PR,48,38,13,9,16,42,49,-7
2009,15,Botafogo-RJ,47,38,11,14,13,52,58,-6
2009,16,Fluminense-RJ,46,38,11,13,14,49,56,-7
2009,17,Coritiba-PR,45,38,12,9,17,48,60,-12
2009,18,Santo André-SP,41,38,11,8,19,46,61,-15
2009,19,Náutico-PE,38,38,10,8,20,48,71,-23
2009,20,Sport-PE,31,38,7,10,21,48,71,-23
2010,1,Fluminense-RJ,71,38,20,11,7,62,36,26
2010,2,Cruzeiro-MG,69,38,20,9,9,53,38,15
2010,3,Corinthians-SP,68,38,19,11,8,65,41,24
2010,4,Grêmio-RS,63,38,17,12,9,68,43,25
2010,5,Atlético-PR,60,38,17,9,12,43,45,-2
2010,6,Botafogo-RJ,59,38,14,17,7,54,42,12
2010,7,Internacional-RS,58,38,16,10,12,48,41,7
2010,8,Santos-SP,56,38,15,11,12,63,50,13
2010,9,São Paulo-SP,55,38,15,10,13,54,54,0
2010,10,Palmeiras-SP,50,38,12,14,12,42,43,-1
2010,11,Vasco-RJ,49,38,11,16,11,43,45,-2
2010,12,Ceará-CE,47,38,10,17,11,35,44,-9
2010,13,Atlético-MG,45,38,13,6,19,52,64,-12
2010,14,Flamengo-RJ,44,38,9,17,12,41,44,-3
2010,15,Avaí-SC,43,38,11,10,17,49,58,-9
2010,16,Atlético-GO,42,38,11,9,18,51,57,-6
2010,17,Vitória-BA,42,38,9,15,14,42,48,-6
2010,18,Guarani-SP,37,38,8,13,17,33,53,-20
2010,19,Goiás-GO,33,38,8,9,21,41,68,-27
2010,20,Grêmio Barueri-SP (1),28,38,7,10,21,39,64,-25
2011,1,Corinthians-SP,71,38,21,8,9,53,36,17
2011,2,Vasco-RJ,69,38,19,12,7,57,40,17
2011,3,Fluminense-RJ,63,38,20,3,15,60,51,9
2011,4,Flamengo-RJ,61,38,15,16,7,59,47,12
2011,5,Internacional-RS,60,38,16,12,10,57,43,14
2011,6,São Paulo-SP,59,38,16,11,11,57,46,11
2011,7,Figueirense-SC,58,38,15,13,10,46,45,1
2011,8,Coritiba-PR,57,38,16,9,13,57,41,16
2011,9,Botafogo-RJ,56,38,16,8,14,52,49,3
2011,10,Santos-SP,53,38,15,8,15,55,55,0
2011,11,Palmeiras-SP,50,38,11,17,10,43,39,4
2011,12,Grêmio-RS,48,38,13,9,16,49,57,-8
2011,13,Atlético-GO,48,38,12,12,14,50,45,5
2011,14,Bahia-BA,46,38,11,13,14,43,49,-6
2011,15,Atlético-MG,45,38,13,6,19,50,60,-10
2011,16,Cruzeiro-MG,43,38,11,10,17,48,51,-3
2011,17,Atlético-PR,41,38,10,11,17,38,55,-17
2011,18,Ceará-CE,39,38,10,9,19,47,64,-17
2011,19,América-MG,37,38,8,13,17,51,69,-18
2011,20,Avaí-SC,31,38,7,10,21,45,75,-30
2012,1,Fluminense-RJ,77,38,22,11,5,61,33,28
2012,2,Atlético-MG,72,38,20,12,6,64,37,27
2012,3,Grêmio-RS,71,38,20,11,7,56,33,23
2012,4,São Paulo-SP,66,38,20,6,12,59,37,22
2012,5,Vasco-RJ,58,38,16,10,12,45,44,1
2012,6,Corinthians-SP,57,38,15,12,11,51,39,12
2012,7,Botafogo-RJ,55,38,15,10,13,60,50,10
2012,8,Santos-SP,53,38,13,14,11,50,44,6
2012,9,Cruzeiro-MG,52,38,15,7,16,47,51,-4
2012,10,Internacional-RS,52,38,13,13,12,44,40,4
2012,11,Flamengo-RJ,50,38,12,14,12,39,46,-7
2012,12,Náutico-PE,49,38,14,7,17,44,51,-7
2012,13,Coritiba-PR,48,38,14,6,18,53,60,-7
2012,14,Ponte Preta-SP,48,38,12,12,14,37,44,-7
2012,15,Bahia-BA,47,38,11,14,13,37,41,-4
2012,16,Portuguesa-SP,45,38,10,15,13,39,41,-2
2012,17,Sport-PE,41,38,10,11,17,39,56,-17
2012,18,Palmeiras-SP,34,38,9,7,22,39,54,-15
2012,19,Atlético-GO,30,38,7,9,22,37,67,-30
2012,20,Figueirense-SC,30,38,7,9,22,39,72,-33
2013,1,Cruzeiro-MG,76,38,23,7,8,77,37,40
2013,2,Grêmio-RS,65,38,18,11,9,42,35,7
2013,3,Atlético-PR,64,38,18,10,10,65,49,16
2013,4,Botafogo-RJ,61,38,17,10,11,54,41,13
2013,5,Vitória-BA,59,38,16,11,11,59,53,6
2013,6,Goiás-GO,59,38,16,11,11,48,44,4
2013,7,Santos-SP,57,38,15,12,11,51,38,13
2013,8,Atlético-MG,57,38,15,12,11,49,38,11
2013,9,São Paulo-SP,50,38,14,8,16,39,40,-1
2013,10,Corinthians-SP,50,38,11,17,10,27,22,5
2013,11,Coritiba-PR,48,38,12,12,14,42,44,-2
2013,12,Bahia-BA,48,38,12,12,14,37,45,-8
2013,13,Internacional-RS,48,38,11,15,12,51,52,-1
2013,14,Criciúma-SC,46,38,13,7,18,49,63,-14
2013,15,Fluminense-RJ,46,38,12,10,16,43,47,-4
2013,16,Flamengo-RJ (1),45,38,12,13,13,43,46,-3
2013,17,Portuguesa-SP (2),44,38,12,12,14,50,46,4
2013,18,Vasco-RJ,44,38,11,11,16,50,61,-11
2013,19,Ponte Preta-SP,37,38,9,10,19,37,55,-18
2013,20,Náutico-PE,20,38,5,5,28,22,79,-57
2014,1,Cruzeiro-MG,80,38,24,8,6,67,38,29
2014,2,São Paulo-SP,70,38,20,10,8,59,40,19
2014,3,Internacional-RS,69,38,21,6,11,53,41,12
2014,4,Corinthians-SP,69,38,19,12,7,49,31,18
2014,5,Atlético-MG,62,38,17,11,10,51,38,13
2014,6,Fluminense-RJ,61,38,17,10,11,61,42,19
2014,7,Grêmio-RS,61,38,17,10,11,36,24,12
2014,8,Atlético-PR,54,38,15,9,14,43,42,1
2014,9,Santos-SP,53,38,15,8,15,42,35,7
2014,10,Flamengo-RJ,52,38,14,10,14,46,47,-1
2014,11,Sport-PE,52,38,14,10,14,36,46,-10
2014,12,Goiás-GO,47,38,13,8,17,38,40,-2
2014,13,Figueirense-SC,47,38,13,8,17,37,47,-10
2014,14,Coritiba-PR,47,38,12,11,15,42,45,-3
2014,15,Chapecoense-SC,43,38,11,10,17,39,44,-5
2014,16,Palmeiras-SP,40,38,11,7,20,34,59,-25
2014,17,Vitória-BA,38,38,10,8,20,37,54,-17
2014,18,Bahia-BA,37,38,9,10,19,31,43,-12
2014,19,Botafogo-RJ,34,38,9,7,22,31,48,-17
2014,20,Criciúma-SC,32,38,7,11,20,28,56,-28
2015,1,Corinthians-SP,81,38,24,9,5,71,31,40
2015,2,Atlético-MG,69,38,21,6,11,65,47,18
2015,3,Grêmio-RS,68,38,20,8,10,52,32,20
2015,4,São Paulo-SP,62,38,18,8,12,53,47,6
2015,5,Internacional-RS,60,38,17,9,12,39,38,1
2015,6,Sport-PE,59,38,15,14,9,53,38,15
2015,7,Santos-SP,58,38,16,10,12,59,41,18
2015,8,Cruzeiro-MG,55,38,15,10,13,44,35,9
2015,9,Palmeiras-SP,53,38,15,8,15,60,51,9
2015,10,Atlético-PR,51,38,14,9,15,43,48,-5
2015,11,Ponte Preta-SP,51,38,13,12,13,41,40,1
2015,12,Flamengo-RJ,49,38,15,4,19,45,53,-8
2015,13,Fluminense-RJ,47,38,14,5,19,40,49,-9
2015,14,Chapecoense-SC,47,38,12,11,15,34,44,-10
2015,15,Coritiba-PR,44,38,11,11,16,31,42,-11
2015,16,Figueirense-SC,43,38,11,10,17,36,50,-14
2015,17,Avaí-SC,42,38,11,9,18,38,60,-22
2015,18,Vasco-RJ,41,38,10,11,17,28,54,-26
2015,19,Goiás-GO,38,38,10,8,20,39,49,-10
2015,20,Joinville-SC,31,38,7,10,21,26,48,-22
2016,1,Palmeiras-SP,80,38,24,8,6,62,32,30
